FECHA,HORA,BCMG P.AZUCAR_22O,cmg,datetime
2024-11-25,12:28:00,ERNC,0.0,2024-11-25 12:28:00
2024-11-25,12:06:00,ERNC,0.0,2024-11-25 12:06:00
2024-11-25,12:05:00,ERNC,0.0,2024-11-25 12:05:00
2024-11-25,12:00:00,ERNC,0.0,2024-11-25 12:00:00
2024-11-25,11:56:00,ERNC,0.0,2024-11-25 11:56:00
2024-11-25,11:52:00,ERNC,0.0,2024-11-25 11:52:00
2024-11-25,11:43:00,ERNC,0.0,2024-11-25 11:43:00
2024-11-25,11:40:00,ERNC,0.0,2024-11-25 11:40:00
2024-11-25,11:35:00,ERNC,0.0,2024-11-25 11:35:00
2024-11-25,11:22:00,ERNC,0.0,2024-11-25 11:22:00
2024-11-25,11:06:00,ERNC,0.0,2024-11-25 11:06:00
2024-11-25,10:53:00,ERNC,0.0,2024-11-25 10:53:00
2024-11-25,10:51:00,ERNC,0.0,2024-11-25 10:51:00
2024-11-25,10:31:00,ERNC,0.0,2024-11-25 10:31:00
2024-11-25,10:15:00,ERNC,0.0,2024-11-25 10:15:00
2024-11-25,10:10:00,ERNC,0.0,2024-11-25 10:10:00
2024-11-25,10:05:00,ERNC,0.0,2024-11-25 10:05:00
2024-11-25,10:04:00,ERNC,0.0,2024-11-25 10:04:00
2024-11-25,10:03:00,ERNC,0.0,2024-11-25 10:03:00
2024-11-25,10:00:00,ERNC,0.0,2024-11-25 10:00:00
2024-11-25,09:55:00,ERNC,0.0,2024-11-25 09:55:00
2024-11-25,09:54:00,ERNC,0.0,2024-11-25 09:54:00
2024-11-25,09:44:00,ERNC,0.0,2024-11-25 09:44:00
2024-11-25,09:24:00,ERNC,0.0,2024-11-25 09:24:00
2024-11-25,09:23:00,ERNC,0.0,2024-11-25 09:23:00
2024-11-25,09:22:00,ERNC,0.0,2024-11-25 09:22:00
2024-11-25,09:20:00,ERNC,0.0,2024-11-25 09:20:00
2024-11-25,09:15:00,ERNC,0.0,2024-11-25 09:15:00
2024-11-25,09:02:00,ERNC,0.0,2024-11-25 09:02:00
2024-11-25,08:52:00,ERNC,0.0,2024-11-25 08:52:00
2024-11-25,08:50:00,ERNC,0.0,2024-11-25 08:50:00
2024-11-25,08:41:00,ERNC,0.0,2024-11-25 08:41:00
2024-11-25,08:23:00,ERNC,0.0,2024-11-25 08:23:00
2024-11-25,08:20:00,ERNC,0.0,2024-11-25 08:20:00
2024-11-25,08:08:00,ERNC,0.0,2024-11-25 08:08:00
2024-11-25,08:05:00,ERNC,0.0,2024-11-25 08:05:00
2024-11-25,08:01:00,ERNC,0.0,2024-11-25 08:01:00
2024-11-25,08:00:00,ERNC,0.0,2024-11-25 08:00:00
2024-11-25,07:49:00,ERNC,0.0,2024-11-25 07:49:00
2024-11-25,07:48:00,ERNC,0.0,2024-11-25 07:48:00
2024-11-25,07:44:00,ERNC,0.0,2024-11-25 07:44:00
2024-11-25,07:43:00,PEHUENCHE,0.0,2024-11-25 07:43:00
2024-11-25,07:41:00,PEHUENCHE,0.0,2024-11-25 07:41:00
2024-11-25,07:40:00,PEHUENCHE,0.0,2024-11-25 07:40:00
2024-11-25,07:37:00,PEHUENCHE,0.0,2024-11-25 07:37:00
2024-11-25,07:34:00,MEJILLONES-IEM_CAR,62.12,2024-11-25 07:34:00
2024-11-25,07:34:00,PEHUENCHE,0.0,2024-11-25 07:34:00
2024-11-25,07:32:00,MEJILLONES-IEM_CAR,62.12,2024-11-25 07:32:00
2024-11-25,07:23:00,MEJILLONES-IEM_CAR,62.12,2024-11-25 07:23:00
2024-11-25,07:21:00,SANISIDRO-2_TG1_GN_A,84.77,2024-11-25 07:21:00
2024-11-25,07:17:00,SANISIDRO-1_TG1_GN_A,88.38,2024-11-25 07:17:00
2024-11-25,07:09:00,SANISIDRO-2_TG1_GN_A,84.77,2024-11-25 07:09:00
2024-11-25,07:06:00,QUINTERO-1_GN_A,95.43,2024-11-25 07:06:00
2024-11-25,07:05:00,QUINTERO-1_GN_A,95.43,2024-11-25 07:05:00
2024-11-25,07:04:00,QUINTERO-1_GN_A,95.43,2024-11-25 07:04:00
2024-11-25,07:02:00,QUINTERO-1_GN_A,95.43,2024-11-25 07:02:00
2024-11-25,07:00:00,QUINTERO-1_GN_A,95.43,2024-11-25 07:00:00
2024-11-25,06:56:00,TENOGAS_GLP,139.12,2024-11-25 06:56:00
2024-11-25,06:55:00,TENOGAS_GLP,139.12,2024-11-25 06:55:00
2024-11-25,06:52:00,TENOGAS_GLP,139.12,2024-11-25 06:52:00
2024-11-25,06:42:00,TENOGAS_GLP,139.12,2024-11-25 06:42:00
2024-11-25,06:33:00,PENON_DIESEL,262.21,2024-11-25 06:33:00
2024-11-25,06:30:00,PENON_DIESEL,262.21,2024-11-25 06:30:00
2024-11-25,06:26:00,PENON_DIESEL,262.21,2024-11-25 06:26:00
2024-11-25,06:25:00,PENON_DIESEL,262.21,2024-11-25 06:25:00
2024-11-25,06:16:00,PENON_DIESEL,262.21,2024-11-25 06:16:00
2024-11-25,06:15:00,PENON_DIESEL,262.21,2024-11-25 06:15:00
2024-11-25,06:10:00,PENON_DIESEL,262.21,2024-11-25 06:10:00
2024-11-25,06:06:00,PENON_DIESEL,262.21,2024-11-25 06:06:00
2024-11-25,06:03:00,PENON_DIESEL,262.21,2024-11-25 06:03:00
2024-11-25,06:02:00,PENON_DIESEL,262.21,2024-11-25 06:02:00
2024-11-25,06:00:00,QUINTERO-1_GN_A,95.43,2024-11-25 06:00:00
2024-11-25,05:58:00,QUINTERO-1_GN_A,95.43,2024-11-25 05:58:00
2024-11-25,05:45:00,SANISIDRO-2_TG1_GN_A,84.77,2024-11-25 05:45:00
2024-11-25,05:41:00,SANISIDRO-2_TG1_GN_A,84.77,2024-11-25 05:41:00
2024-11-25,05:40:00,SANISIDRO-2_TG1_GN_A,84.77,2024-11-25 05:40:00
2024-11-25,05:35:00,SANISIDRO-2_TG1_GN_A,84.77,2024-11-25 05:35:00
2024-11-25,04:46:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 04:46:00
2024-11-25,04:43:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 04:43:00
2024-11-25,04:40:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 04:40:00
2024-11-25,04:34:00,ATACAMA-1TG1B_TG1B+0.5TV1_GNL_B,89.79,2024-11-25 04:34:00
2024-11-25,04:24:00,ATACAMA-1TG1B_TG1B+0.5TV1_GNL_B,89.79,2024-11-25 04:24:00
2024-11-25,04:14:00,ATACAMA-1TG1B_TG1B+0.5TV1_GNL_B,89.79,2024-11-25 04:14:00
2024-11-25,04:10:00,ATACAMA-1TG1B_TG1B+0.5TV1_GNL_B,89.79,2024-11-25 04:10:00
2024-11-25,04:08:00,CANUTILLAR,52.27,2024-11-25 04:08:00
2024-11-25,04:00:00,CANUTILLAR,52.27,2024-11-25 04:00:00
2024-11-25,03:58:00,CANUTILLAR,52.27,2024-11-25 03:58:00
2024-11-25,03:55:00,CANUTILLAR,52.27,2024-11-25 03:55:00
2024-11-25,03:45:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 03:45:00
2024-11-25,02:35:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 02:35:00
2024-11-25,02:29:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 02:29:00
2024-11-25,02:17:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 02:17:00
2024-11-25,01:39:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 01:39:00
2024-11-25,01:38:00,COCHRANE-CCH1_CAR,70.77,2024-11-25 01:38:00
2024-11-25,01:35:00,GUACOLDA-5_CAR,61.88,2024-11-25 01:35:00
2024-11-25,01:18:00,GUACOLDA-5_CAR,61.88,2024-11-25 01:18:00
2024-11-25,01:09:00,GUACOLDA-5_CAR,61.88,2024-11-25 01:09:00
2024-11-25,01:00:00,GUACOLDA-5_CAR,61.88,2024-11-25 01:00:00
2024-11-25,00:27:00,GUACOLDA-5_CAR,61.88,2024-11-25 00:27:00
2024-11-25,00:15:00,GUACOLDA-5_CAR,61.88,2024-11-25 00:15:00
2024-11-25,00:04:00,RAPEL,79.68,2024-11-25 00:04:00
2024-11-25,00:03:00,RAPEL,79.68,2024-11-25 00:03:00
2024-11-25,00:00:00,RAPEL,79.68,2024-11-25 00:00:00
2024-11-25,12:53:00,ERNC,0.0,2024-11-25 12:53:00
2024-11-25,13:00:00,ERNC,0.0,2024-11-25 13:00:00
2024-11-25,13:03:00,ERNC,0.0,2024-11-25 13:03:00
2024-11-25,13:29:00,ERNC,0.0,2024-11-25 13:29:00
2024-11-25,13:46:00,ERNC,0.0,2024-11-25 13:46:00
2024-11-25,13:53:00,ERNC,0.0,2024-11-25 13:53:00
2024-11-25,13:54:00,ERNC,0.0,2024-11-25 13:54:00
2024-11-25,14:00:00,ERNC,0.0,2024-11-25 14:00:00
2024-11-25,14:03:00,ERNC,0.0,2024-11-25 14:03:00
2024-11-25,14:09:00,ERNC,0.0,2024-11-25 14:09:00
2024-11-25,14:24:00,ERNC,0.0,2024-11-25 14:24:00
2024-11-25,14:27:00,ERNC,0.0,2024-11-25 14:27:00
